x1,x2,price_group,price
-0.00013543552950023662,3.12235061322868e-05,0 to 200k ($),179900
-0.00010763670017082808,1.8129210410008687e-05,0 to 200k ($),189000
-7.776795309081406e-05,7.732471909479641e-06,0 to 200k ($),195000
-0.0001174913398969878,3.3714280115558654e-05,0 to 200k ($),148000
-3.696051121948678e-05,3.8931216012905856e-05,0 to 200k ($),199000
-0.00010677470477234204,5.500178718288423e-05,0 to 200k ($),145000
-0.00012401103815395232,4.007611817234012e-05,0 to 200k ($),170000
-8.332301411038237e-05,2.337946477557158e-05,0 to 200k ($),199499
1.4467278305602538e-05,4.450315013797404e-05,200k to 400k ($),299999
-8.331437201478255e-05,0.00012063842469677875,200k to 400k ($),289000
-7.71390345756305e-05,8.83953202516994e-05,200k to 400k ($),259200
-5.93160096933502e-05,2.387998711376335e-05,200k to 400k ($),220000
-0.00010753117109054157,5.908132212192981e-05,200k to 400k ($),289000
-0.00011884895816130239,4.484842652314124e-06,200k to 400k ($),295000
-0.000124976359022835,4.35336137328097e-05,200k to 400k ($),299900
-8.799561157052193e-05,1.3763093874917632e-05,200k to 400k ($),250000
-8.045613243812898e-05,0.00011370134404761833,200k to 400k ($),220000
-8.711216164446691e-05,0.00010054083800787598,200k to 400k ($),220700
-0.00010827313708956558,2.9677215263170808e-05,200k to 400k ($),237000
-4.406016831359382e-05,4.6318533827612695e-05,200k to 400k ($),285000
-9.680139196586563e-05,3.4410406572893134e-05,200k to 400k ($),219900
-0.00011494710947989165,-5.571097091985444e-05,200k to 400k ($),290000
-0.00012222466920040582,-4.5179667483858816e-05,200k to 400k ($),296000
-0.00011097771188459911,6.258778865990053e-05,200k to 400k ($),299999
-8.664565010555586e-05,3.2186368277935525e-05,200k to 400k ($),245000
-0.00013241418767582832,6.43616270313626e-05,200k to 400k ($),268800
-8.310092097888688e-05,-2.1455831188688095e-06,200k to 400k ($),210900
-6.708733774955101e-05,0.0001004129034693583,200k to 400k ($),225000
-0.00011689701088389977,-5.649150001655522e-05,200k to 400k ($),281000
6.723343925082606e-06,0.0001499625180228716,200k to 400k ($),299999
-5.650658942932051e-05,9.874422788069636e-05,200k to 400k ($),299900
-9.87259562643429e-05,2.5109818908428562e-05,200k to 400k ($),275000
-7.454631845460902e-05,4.587859906642712e-05,200k to 400k ($),264900
-0.0001138074314116433,-3.908755827716285e-05,200k to 400k ($),293000
-9.460964474945238e-05,4.572415672425387e-06,200k to 400k ($),275000
-0.00012554768054321423,7.49331901470938e-06,200k to 400k ($),299000
-0.00012351945232236218,3.7450795421818216e-06,200k to 400k ($),289000
-5.408996806467261e-05,5.929914960827329e-05,200k to 400k ($),329000
2.3775833286653605e-05,8.376577464367487e-05,200k to 400k ($),399000
7.089958558132826e-06,-1.3874244118846607e-05,200k to 400k ($),325000
-5.367362311940418e-05,0.0001009716853327441,200k to 400k ($),389900
-0.0001345857849051545,5.43521334085043e-06,200k to 400k ($),360000
-2.8137654045778164e-05,9.671682316444469e-05,200k to 400k ($),344900
-7.780642511092821e-05,6.543887579377959e-05,200k to 400k ($),385000
