x1,x2,price_group,price
54.85751,-1.8382753,0 to 200k ($),179900
54.645943,-2.6102543,0 to 200k ($),189000
54.905342,-1.8773382,0 to 200k ($),195000
52.27934,-4.772521,0 to 200k ($),148000
55.11289,-8.236233,0 to 200k ($),199000
52.178593,-4.827269,0 to 200k ($),145000
54.43711,-2.369641,0 to 200k ($),170000
52.369053,-6.246157,0 to 200k ($),199499
-20.255976,-3.637342,200k to 400k ($),299999
63.17632,5.586831,200k to 400k ($),289000
63.21134,5.5262613,200k to 400k ($),259200
58.88268,-6.069487,200k to 400k ($),220000
62.197266,7.2639337,200k to 400k ($),289000
54.804653,7.2364984,200k to 400k ($),295000
55.27046,4.708693,200k to 400k ($),299900
53.346752,2.8456864,200k to 400k ($),250000
61.591747,2.3724096,200k to 400k ($),220000
55.86612,-2.8224626,200k to 400k ($),220700
39.188297,8.246901,200k to 400k ($),237000
48.67649,19.274517,200k to 400k ($),285000
44.03224,-2.3604758,200k to 400k ($),219900
25.606827,30.383461,200k to 400k ($),290000
25.473381,30.575363,200k to 400k ($),296000
56.860523,4.8942547,200k to 400k ($),299999
44.05088,-2.4815712,200k to 400k ($),245000
58.08157,5.410213,200k to 400k ($),268800
33.76322,0.35876727,200k to 400k ($),210900
52.655125,-4.9147243,200k to 400k ($),225000
25.445156,30.541996,200k to 400k ($),281000
68.04592,5.311901,200k to 400k ($),299999
36.83252,0.47745797,200k to 400k ($),299900
20.741385,17.592775,200k to 400k ($),275000
39.84883,7.726945,200k to 400k ($),264900
25.496603,30.674276,200k to 400k ($),293000
5.3766756,21.404224,200k to 400k ($),275000
46.835186,9.222324,200k to 400k ($),299000
46.84551,9.203525,200k to 400k ($),289000
-2.5814803,19.259808,200k to 400k ($),329000
0.27749982,-19.850756,200k to 400k ($),399000
-33.59598,0.9629841,200k to 400k ($),325000
33.5485,0.29457414,200k to 400k ($),389900
52.97652,3.7002187,200k to 400k ($),360000
53.542892,2.8780913,200k to 400k ($),344900
55.43272,-2.09473,200k to 400k ($),385000
33.251617,0.70547307,200k to 400k ($),375000
58.751247,5.7187195,200k to 400k ($),379999
64.55607,-3.8101544,200k to 400k ($),375000
52.934113,3.6059577,200k to 400k ($),324820
23.406693,11.289124,200k to 400k ($),330000
-31.115023,24.464392,200k to 400k ($),399890
-2.01944,21.12907,200k to 400k ($),336800
-31.120804,24.469652,200k to 400k ($),396015
-32.10197,-8.870376,200k to 400k ($),399500
13.409269,-9.44103,200k to 400k ($),399500
57.632187,4.966145,200k to 400k ($),349000
53.361794,2.8791625,200k to 400k ($),375000
65.3781,-1.1688832,200k to 400k ($),374900
-15.297998,17.366926,200k to 400k ($),325000
29.039015,-0.23443541,200k to 400k ($),349900
-1.9653207,21.088936,200k to 400k ($),312200
-2.0194564,21.12932,200k to 400k ($),335800
63.11761,4.121254,200k to 400k ($),350000
60.41823,6.4546604,200k to 400k ($),392000
-10.885419,-3.33667,200k to 400k ($),378780
57.955235,5.504009,200k to 400k ($),395000
46.63481,8.965875,200k to 400k ($),325000
-9.053158,5.86677,200k to 400k ($),399900
47.43255,19.533813,200k to 400k ($),350000
62.025333,6.983746,200k to 400k ($),350000
63.621975,7.7987056,200k to 400k ($),399999
45.879837,10.238538,200k to 400k ($),350000
-20.337873,-3.7571003,200k to 400k ($),334900
59.84928,5.98429,200k to 400k ($),350000
58.163902,14.597071,200k to 400k ($),325000
12.228339,20.979494,200k to 400k ($),320000
-13.603058,1.7702008,200k to 400k ($),339900
65.36158,-1.4642404,200k to 400k ($),349900
-22.20761,-7.0945106,200k to 400k ($),365000
-30.601597,26.638966,200k to 400k ($),330486
-5.2277575,45.119255,200k to 400k ($),390843
58.119137,6.652522,200k to 400k ($),325000
57.34522,4.970938,200k to 400k ($),390000
3.5728948,31.804329,200k to 400k ($),399000
12.051426,20.972284,200k to 400k ($),360000
53.647305,5.934121,200k to 400k ($),375000
-31.279997,24.735723,200k to 400k ($),398190
11.234428,21.120289,200k to 400k ($),378000
-38.53474,-3.3668504,200k to 400k ($),377940
5.7033463,39.211193,200k to 400k ($),374990
-38.52487,-3.3647768,200k to 400k ($),382350
-26.34687,12.545841,200k to 400k ($),394990
6.9842186,1.6587858,200k to 400k ($),395000
11.958951,32.818996,200k to 400k ($),385400
