x1,x2,price_group,price
6.3040323,0.18977118,0 to 200k ($),179900
6.171758,0.30702937,0 to 200k ($),189000
6.064466,0.17388012,0 to 200k ($),195000
5.575964,-0.31595156,0 to 200k ($),148000
5.519039,0.1828118,0 to 200k ($),199000
5.620189,-0.29515204,0 to 200k ($),145000
6.094892,0.16171248,0 to 200k ($),170000
5.170981,-0.28843737,0 to 200k ($),199499
5.9196696,6.1865077,200k to 400k ($),299999
7.493374,0.7159791,200k to 400k ($),289000
7.4437995,0.7139553,200k to 400k ($),259200
6.065967,0.40445417,200k to 400k ($),220000
7.436712,0.86125636,200k to 400k ($),289000
6.8195844,0.29849902,200k to 400k ($),295000
6.71717,0.1474337,200k to 400k ($),299900
6.2334495,0.2537303,200k to 400k ($),250000
7.283108,0.5439872,200k to 400k ($),220000
6.392413,0.52956283,200k to 400k ($),220700
6.1743646,0.8286031,200k to 400k ($),237000
7.2274933,1.3001087,200k to 400k ($),285000
6.2027936,0.6972899,200k to 400k ($),219900
8.181711,5.1359715,200k to 400k ($),290000
8.212511,5.0753098,200k to 400k ($),296000
7.038156,0.4397207,200k to 400k ($),299999
6.161832,0.75854135,200k to 400k ($),245000
7.1891437,0.658837,200k to 400k ($),268800
5.978508,1.2303706,200k to 400k ($),210900
5.813603,-0.20973764,200k to 400k ($),225000
8.1953335,4.966979,200k to 400k ($),281000
7.77599,0.94796,200k to 400k ($),299999
6.4701896,1.179785,200k to 400k ($),299900
7.046969,5.334966,200k to 400k ($),275000
5.9851704,1.2036653,200k to 400k ($),264900
8.081591,5.000557,200k to 400k ($),293000
7.321656,1.6456952,200k to 400k ($),275000
6.4907846,0.43109736,200k to 400k ($),299000
6.550406,0.46504137,200k to 400k ($),289000
7.9475856,1.6525649,200k to 400k ($),329000
5.252269,4.4618692,200k to 400k ($),399000
1.4771541,7.1441755,200k to 400k ($),325000
7.186479,1.2847811,200k to 400k ($),389900
6.21862,0.2407037,200k to 400k ($),360000
6.203565,0.51628804,200k to 400k ($),344900
6.2688518,0.24265227,200k to 400k ($),385000
6.2875333,1.5282512,200k to 400k ($),375000
7.3533506,0.6995754,200k to 400k ($),379999
