x1,x2,price_group,price
-0.00014979932888813235,6.655730880906982e-05,0 to 200k ($),179900
-0.00012956531822729298,1.7958024499223806e-05,0 to 200k ($),189000
-8.950045253242122e-05,1.968648398576062e-07,0 to 200k ($),195000
-0.00011515913858531591,7.325239153613698e-05,0 to 200k ($),148000
-6.403423389613693e-05,3.778221354341748e-05,0 to 200k ($),199000
-0.00013228598011027804,9.152405054916948e-05,0 to 200k ($),145000
-0.00012772809422003755,7.613232262550256e-05,0 to 200k ($),170000
-9.348941659453236e-05,1.3631458374648238e-05,0 to 200k ($),199499
1.5310330964836806e-05,-6.752494294520061e-05,200k to 400k ($),299999
-0.00010621086416512053,0.00012211242034760315,200k to 400k ($),289000
-9.715554324096442e-05,7.728467392548448e-05,200k to 400k ($),259200
-5.624258215287988e-05,4.5588374005721614e-05,200k to 400k ($),220000
-0.00012152034845401364,0.00010650084154623614,200k to 400k ($),289000
-0.00013716215079782068,3.82408511625515e-05,200k to 400k ($),295000
-0.00012353490395988304,6.970456692422403e-05,200k to 400k ($),299900
-8.083729161512014e-05,4.553653767451272e-05,200k to 400k ($),250000
-0.0001058709755785926,0.00013666504809897883,200k to 400k ($),220000
-0.00011918849747015455,6.855258956901256e-05,200k to 400k ($),220700
-0.00010364294099091133,6.79779499633409e-05,200k to 400k ($),237000
-2.7590769357782236e-05,4.305277410801858e-05,200k to 400k ($),285000
-0.00012113935667650705,3.992405196863033e-06,200k to 400k ($),219900
-0.00011537897312963715,-0.00010807373050603197,200k to 400k ($),290000
-0.0001267868046227277,-8.999286339226899e-05,200k to 400k ($),296000
-0.00011240484333564126,0.00010778545255322139,200k to 400k ($),299999
-9.527965662145196e-05,1.1040845242186409e-05,200k to 400k ($),245000
-0.0001409856121418071,0.00010160643060687376,200k to 400k ($),268800
-8.431169589856525e-05,-1.2270057613448617e-05,200k to 400k ($),210900
-4.648337269757383e-05,0.00015479316956747288,200k to 400k ($),225000
-0.00011710843631346644,-0.00011517211254418692,200k to 400k ($),281000
-9.990914318550487e-06,0.00017485005741831532,200k to 400k ($),299999
-4.6378627481059315e-05,0.00015240107358443526,200k to 400k ($),299900
-8.8209626080426e-05,3.988891156226264e-05,200k to 400k ($),275000
-9.430549286487528e-05,-2.0732062923684523e-05,200k to 400k ($),264900
-0.00011749371669096605,-7.761001891330598e-05,200k to 400k ($),293000
-8.972395802297675e-05,3.872979271335493e-05,200k to 400k ($),275000
-0.0001356179422814674,4.93833215130697e-05,200k to 400k ($),299000
-0.000132935929704228,4.4664255828861545e-05,200k to 400k ($),289000
-7.371250178839382e-05,2.5442342821869167e-05,200k to 400k ($),329000
2.3335997467680036e-05,8.36524901291431e-05,200k to 400k ($),399000
-1.0731830913714438e-06,-7.711801508452162e-05,200k to 400k ($),325000
-6.20946984896976e-05,5.5008578137744146e-05,200k to 400k ($),389900
-0.00013916979103561152,2.335147777916446e-05,200k to 400k ($),360000
-3.4840421393257404e-05,0.0001288260866661475,200k to 400k ($),344900
-8.489655054489039e-05,6.725490266065602e-05,200k to 400k ($),385000
-8.470474182494555e-05,4.799588734492724e-05,200k to 400k ($),375000
-9.768458010968193e-05,0.00010255036843897315,200k to 400k ($),379999
-3.6449269879322296e-05,5.914419506466077e-05,200k to 400k ($),375000
-0.00011263222933565611,2.6352635187634676e-05,200k to 400k ($),324820
-9.186781758330852e-05,1.685588638129885e-05,200k to 400k ($),330000
2.6746991562662867e-06,-7.576553653186866e-05,200k to 400k ($),399890
-0.00011240855981979505,-1.3547095482128673e-05,200k to 400k ($),336800
6.9133533277510255e-06,-6.365157078664808e-05,200k to 400k ($),396015
0.00011095782830207496,-6.051144068574983e-05,200k to 400k ($),399500
1.722430557346833e-05,3.1152399145340785e-05,200k to 400k ($),399500
-0.00014120066539599938,7.980449133204068e-05,200k to 400k ($),349000
-9.49980049969215e-05,8.103198305966747e-05,200k to 400k ($),375000
-3.1949161201799754e-05,0.00011949495210660449,200k to 400k ($),374900
-1.2216557503062466e-05,9.408459885801093e-05,200k to 400k ($),325000
-0.00011651944607817162,4.229920951988028e-05,200k to 400k ($),349900
-0.00011295149877117717,-1.4172198195366861e-05,200k to 400k ($),312200
-0.00011239356644667412,-1.368468270061306e-05,200k to 400k ($),335800
-7.279065288239619e-05,0.0001288831214111913,200k to 400k ($),350000
-0.00011316652496670016,9.228361897145875e-05,200k to 400k ($),392000
2.759565074858438e-05,0.0001205895022102404,200k to 400k ($),378780
-0.00011240840208263466,3.8819385957918554e-05,200k to 400k ($),395000
-0.00011980338841380129,-6.211285249438435e-06,200k to 400k ($),325000
-1.9918339121900247e-05,8.659082497670661e-05,200k to 400k ($),399900
-8.031906321053258e-05,3.7876696980982526e-05,200k to 400k ($),350000
-3.461388250619289e-05,0.00021464717618895047,200k to 400k ($),350000
-2.2145431596062202e-05,0.0001901527905283842,200k to 400k ($),399999
-0.00010635889282213645,7.788048427498782e-05,200k to 400k ($),350000
2.573710182232747e-05,-8.911515705850093e-05,200k to 400k ($),334900
-3.684564945460026e-05,7.052311123822042e-05,200k to 400k ($),350000
-7.765556739978287e-05,0.00011065316755357563,200k to 400k ($),325000
-0.0001050200171486186,-4.4737119655528916e-05,200k to 400k ($),320000
-5.10806295136376e-06,1.402653720252986e-06,200k to 400k ($),339900
1.0292360989245558e-05,0.00012748838695661097,200k to 400k ($),349900
4.733643745227419e-05,-3.1108676678196286e-05,200k to 400k ($),365000
-2.476115155531438e-05,-3.396969493675791e-05,200k to 400k ($),330486
-5.055625519895883e-05,-0.00014626282431659028,200k to 400k ($),390843
-6.659624598129384e-05,0.00019715631540561895,200k to 400k ($),325000
-0.00011144901529238644,0.00011192658084586465,200k to 400k ($),390000
-5.574628389856354e-05,5.854237693170038e-05,200k to 400k ($),399000
-0.00011092955000318553,-4.503336549142555e-05,200k to 400k ($),360000
-0.00013864771614976516,3.79772525364821e-05,200k to 400k ($),375000
5.683056915384995e-06,-6.533059250047095e-05,200k to 400k ($),398190
-5.713842631347177e-05,-7.57042577643805e-05,200k to 400k ($),378000
0.0001120367805024274,-6.029518651327356e-05,200k to 400k ($),377940
9.199127304776918e-05,4.459940547529279e-06,200k to 400k ($),374990
0.00010806733129339224,-6.84752040530662e-05,200k to 400k ($),382350
0.0001152128685506906,3.24542023091489e-05,200k to 400k ($),394990
-7.459864753039373e-05,3.665250444607081e-05,200k to 400k ($),395000
-0.00010476297559379372,1.1050833949504215e-06,200k to 400k ($),385400
7.647437847293255e-05,-0.00011748169434221986,200k to 400k ($),399420
7.164885614935667e-06,-7.767754526825917e-05,200k to 400k ($),339990
0.00010809395140452203,-6.844921768637978e-05,200k to 400k ($),392215
1.0875596198628256e-05,0.00021185137370874607,200k to 400k ($),350000
-7.08901488027627e-05,6.038900975530476e-06,200k to 400k ($),399900
9.665187660147192e-05,-8.693670932388653e-05,200k to 400k ($),361940
0.00011521286855069386,3.245420230906802e-05,200k to 400k ($),394990
0.0001353908151273877,-0.00012630222998516244,200k to 400k ($),378100
-2.479513734869554e-05,-3.391856114032406e-05,200k to 400k ($),342560
9.66518766014851e-05,-8.693670932390955e-05,200k to 400k ($),361940
-1.4415097407786654e-05,-4.868528047252632e-05,200k to 400k ($),391900
-2.3566942310016384e-05,-3.224271813131254e-05,200k to 400k ($),339900
-7.055298929482493e-05,2.657769932028981e-05,200k to 400k ($),399900
-1.2598127284403866e-06,-0.0001037731771915308,200k to 400k ($),324990
-2.479513734868169e-05,-3.391856114035555e-05,200k to 400k ($),342585
-7.385002063661528e-05,-0.00010965229659197694,200k to 400k ($),351990
-2.3350494632350314e-06,-4.512491907732421e-05,200k to 400k ($),364990
1.0880859651677904e-05,-0.00010544491227032749,200k to 400k ($),313990
-0.0001244991111644537,-4.155195215576222e-05,200k to 400k ($),339000
-5.056106742002775e-05,-0.00014627059858171986,200k to 400k ($),386274
-6.183359585350806e-05,2.340480462293546e-05,200k to 400k ($),399900
-7.729146288892866e-05,-0.00011352132188491388,200k to 400k ($),369900
-1.4418249087971544e-05,-4.869048378817894e-05,200k to 400k ($),388775
-8.811490494525892e-05,-9.874997671231519e-05,200k to 400k ($),393900
-8.827988692920761e-05,-9.886856912187908e-05,200k to 400k ($),319900
-2.4749540980388426e-05,-3.395059727935907e-05,200k to 400k ($),341825
-8.823866131568442e-05,-9.882330973991792e-05,200k to 400k ($),334900
-8.821764970735852e-05,-9.879290115163058e-05,200k to 400k ($),354900
-8.827761942113771e-05,-9.887957268468387e-05,200k to 400k ($),319900
-8.827968591017727e-05,-9.886907644011776e-05,200k to 400k ($),319900
-7.727134469916006e-05,-0.00011348697848995228,200k to 400k ($),389900
-7.728174211233299e-05,-0.0001135483496032512,200k to 400k ($),371900
-8.814137871761137e-05,-9.879758942759672e-05,200k to 400k ($),366900
-7.779449356115841e-05,-0.00011369434432318841,200k to 400k ($),399900
-2.4750024756748347e-05,-3.395139303141215e-05,200k to 400k ($),341475
-8.814396674388832e-05,-9.879821465858018e-05,200k to 400k ($),364900
-7.959732829582683e-06,-3.078920306493456e-05,200k to 400k ($),365900
-7.804846105606668e-05,-0.0001138221407771007,200k to 400k ($),339900
-8.826082529860808e-05,-9.883107884353652e-05,200k to 400k ($),339900
-7.805744519685161e-05,-0.00011378717516648466,200k to 400k ($),339900
-7.726975359453597e-05,-0.00011348343139760724,200k to 400k ($),391900
-7.72714212099671e-05,-0.00011348720652843974,200k to 400k ($),389900
-8.823884264387577e-05,-9.882177804377902e-05,200k to 400k ($),334900
-8.828024989801927e-05,-9.886753696123016e-05,200k to 400k ($),319900
-8.814418092327798e-05,-9.879740398190486e-05,200k to 400k ($),364900
-8.823477757835803e-05,-9.884042629091031e-05,200k to 400k ($),334900
1.5022888384265367e-05,-6.190359114524489e-05,200k to 400k ($),329990
-8.827934577211024e-05,-9.886087468974267e-05,200k to 400k ($),321900
-7.728174211234764e-05,-0.00011354834960321486,200k to 400k ($),371900
-8.811885782417282e-05,-9.875635233307346e-05,200k to 400k ($),389900
-8.823734516055604e-05,-9.881692039386584e-05,200k to 400k ($),336900
-7.780566278561475e-05,-0.00011376275061054507,200k to 400k ($),379900
-8.823754963582736e-05,-9.882679806979695e-05,200k to 400k ($),334900
-7.729288112137625e-05,-0.00011351667886820526,200k to 400k ($),369900
-8.823739185030823e-05,-9.882786457767265e-05,200k to 400k ($),334900
-7.728703146482657e-05,-0.0001135308026186932,200k to 400k ($),371900
4.044924334373517e-05,-0.00015606707619935045,200k to 400k ($),338999
-8.814066234447562e-05,-9.881384052953029e-05,200k to 400k ($),364900
-8.814066234447073e-05,-9.881384052956329e-05,200k to 400k ($),364900
-7.781253647588475e-05,-0.00011373570924719808,200k to 400k ($),379900
1.8827009286217402e-05,-7.09597892886837e-05,200k to 400k ($),331990
0.00011271027720131809,0.00010092752174400942,400k to 600k ($),425000
