x1,x2,price_group,price
9.617864,8.439468,0 to 200k ($),179900
9.754182,7.956846,0 to 200k ($),189000
9.665436,7.857673,0 to 200k ($),195000
10.332589,8.664724,0 to 200k ($),148000
9.361003,8.283626,0 to 200k ($),199000
10.24458,8.653327,0 to 200k ($),145000
10.063493,8.397687,0 to 200k ($),170000
10.165576,8.51174,0 to 200k ($),199499
5.506272,3.1659987,200k to 400k ($),299999
8.426912,8.584096,200k to 400k ($),289000
8.608975,8.56823,200k to 400k ($),259200
8.857153,8.361958,200k to 400k ($),220000
8.318989,8.479984,200k to 400k ($),289000
9.606547,7.765862,200k to 400k ($),295000
10.201493,8.692091,200k to 400k ($),299900
9.213117,8.709469,200k to 400k ($),250000
10.079226,8.675719,200k to 400k ($),220000
9.828556,8.053239,200k to 400k ($),220700
7.763657,6.3651233,200k to 400k ($),237000
6.276578,4.0519123,200k to 400k ($),285000
9.379275,6.5944734,200k to 400k ($),219900
11.36914,5.2455544,200k to 400k ($),290000
11.260063,5.276064,200k to 400k ($),296000
10.211608,8.724434,200k to 400k ($),299999
9.743232,7.394676,200k to 400k ($),245000
9.6881275,8.477367,200k to 400k ($),268800
9.649768,6.445206,200k to 400k ($),210900
9.908659,8.540978,200k to 400k ($),225000
10.902238,5.062137,200k to 400k ($),281000
8.382239,8.43998,200k to 400k ($),299999
9.132191,7.0061727,200k to 400k ($),299900
7.7657237,5.4610124,200k to 400k ($),275000
9.520548,5.9872913,200k to 400k ($),264900
11.50972,5.3756776,200k to 400k ($),293000
6.979675,6.568132,200k to 400k ($),275000
9.585605,7.346158,200k to 400k ($),299000
9.662506,7.496899,200k to 400k ($),289000
6.6516814,6.4813337,200k to 400k ($),329000
5.657036,5.8718433,200k to 400k ($),399000
5.666695,2.835178,200k to 400k ($),325000
8.760569,6.1740494,200k to 400k ($),389900
9.836845,7.9741263,200k to 400k ($),360000
9.747428,8.382008,200k to 400k ($),344900
9.48984,8.452534,200k to 400k ($),385000
7.528342,6.422161,200k to 400k ($),375000
8.793789,8.510982,200k to 400k ($),379999
8.579096,7.990349,200k to 400k ($),375000
9.779321,8.121096,200k to 400k ($),324820
7.178271,6.4748893,200k to 400k ($),330000
2.9499736,-4.60772,200k to 400k ($),399890
7.0305247,6.482642,200k to 400k ($),336800
2.9527087,-4.6053443,200k to 400k ($),396015
3.8894484,2.7750435,200k to 400k ($),399500
5.8521237,4.9630566,200k to 400k ($),399500
9.63754,8.546793,200k to 400k ($),349000
9.646387,8.443134,200k to 400k ($),375000
8.428027,7.710219,200k to 400k ($),374900
5.67014,6.344698,200k to 400k ($),325000
7.807469,6.4687853,200k to 400k ($),349900
7.007372,6.5633173,200k to 400k ($),312200
7.030781,6.4195848,200k to 400k ($),335800
9.035873,8.53318,200k to 400k ($),350000
8.731894,8.2991295,200k to 400k ($),392000
5.6431065,5.2211704,200k to 400k ($),378780
9.961675,7.84696,200k to 400k ($),395000
9.078112,5.5675,200k to 400k ($),325000
6.224475,6.584924,200k to 400k ($),399900
5.8065357,7.828403,200k to 400k ($),350000
8.198872,8.519,200k to 400k ($),350000
7.1691203,7.932645,200k to 400k ($),399999
9.661275,7.515773,200k to 400k ($),350000
5.292859,3.146547,200k to 400k ($),334900
8.541965,8.173002,200k to 400k ($),350000
7.1017485,6.7767467,200k to 400k ($),325000
8.740075,5.665847,200k to 400k ($),320000
5.9166884,5.1372447,200k to 400k ($),339900
8.476906,7.8188066,200k to 400k ($),349900
4.8370175,2.953043,200k to 400k ($),365000
14.441664,3.3286178,200k to 400k ($),330486
3.2495902,10.919627,200k to 400k ($),390843
8.277887,8.581488,200k to 400k ($),325000
9.813016,8.590523,200k to 400k ($),390000
8.819034,8.027218,200k to 400k ($),399000
8.687308,5.696169,200k to 400k ($),360000
9.716278,8.387928,200k to 400k ($),375000
2.953038,-4.6049957,200k to 400k ($),398190
6.808371,3.8227944,200k to 400k ($),378000
2.5958195,3.2955303,200k to 400k ($),377940
9.182995,0.8579735,200k to 400k ($),374990
2.5839343,3.3262506,200k to 400k ($),382350
4.338816,5.0785594,200k to 400k ($),394990
6.863607,6.1289005,200k to 400k ($),395000
8.986093,5.6942387,200k to 400k ($),385400
2.2817092,3.5045323,200k to 400k ($),399420
5.3451567,2.2534184,200k to 400k ($),339990
2.5614896,3.3647006,200k to 400k ($),392215
8.159124,8.373121,200k to 400k ($),350000
7.5614543,7.067008,200k to 400k ($),399900
2.6343832,3.3082938,200k to 400k ($),361940
4.476246,5.134798,200k to 400k ($),394990
2.7920363,3.1927462,200k to 400k ($),378100
14.416759,3.3162463,200k to 400k ($),342560
2.634919,3.372498,200k to 400k ($),361940
-2.8315072,7.317062,200k to 400k ($),391900
14.417389,3.3163376,200k to 400k ($),339900
6.438459,6.4324284,200k to 400k ($),399900
5.3870926,2.2483633,200k to 400k ($),324990
14.4167595,3.3160083,200k to 400k ($),342585
9.19703,3.6412733,200k to 400k ($),351990
9.193065,0.86534965,200k to 400k ($),364990
5.3062487,2.2509372,200k to 400k ($),313990
9.173348,5.590665,200k to 400k ($),339000
3.2812924,10.882748,200k to 400k ($),386274
6.4790483,6.375756,200k to 400k ($),399900
11.72138,-2.979317,200k to 400k ($),369900
-2.8315413,7.3170786,200k to 400k ($),388775
8.451779,3.3500013,200k to 400k ($),393900
8.472201,3.4299636,200k to 400k ($),319900
14.417173,3.3163733,200k to 400k ($),341825
8.47282,3.4952128,200k to 400k ($),334900
8.463291,3.474291,200k to 400k ($),354900
8.46929,3.4286685,200k to 400k ($),319900
8.46395,3.4284577,200k to 400k ($),319900
11.721508,-2.9794974,200k to 400k ($),389900
11.721392,-2.9793022,200k to 400k ($),371900
8.446115,3.3557303,200k to 400k ($),366900
8.858258,4.063498,200k to 400k ($),399900
14.417265,3.3164039,200k to 400k ($),341475
8.458528,3.3532448,200k to 400k ($),364900
5.4214826,4.6153607,200k to 400k ($),365900
8.879353,4.0408196,200k to 400k ($),339900
8.4812975,3.4419096,200k to 400k ($),339900
8.889845,4.0464926,200k to 400k ($),339900
11.721342,-2.9792764,200k to 400k ($),391900
11.721391,-2.9792342,200k to 400k ($),389900
8.480538,3.4949458,200k to 400k ($),334900
8.479193,3.4298544,200k to 400k ($),319900
8.43887,3.3611672,200k to 400k ($),364900
8.44983,3.4821904,200k to 400k ($),334900
5.363179,2.2146814,200k to 400k ($),329990
8.481178,3.4410212,200k to 400k ($),321900
11.721443,-2.9793594,200k to 400k ($),371900
8.451185,3.3670416,200k to 400k ($),389900
8.478842,3.4989898,200k to 400k ($),336900
8.886473,4.0130577,200k to 400k ($),379900
8.475686,3.4548523,200k to 400k ($),334900
11.721346,-2.9792507,200k to 400k ($),369900
8.498915,3.5064888,200k to 400k ($),334900
11.721346,-2.9792202,200k to 400k ($),371900
5.674181,2.807576,200k to 400k ($),338999
8.444325,3.366546,200k to 400k ($),364900
8.45566,3.377741,200k to 400k ($),364900
8.848352,4.050575,200k to 400k ($),379900
5.280048,2.1923673,200k to 400k ($),331990
4.6398435,6.086526,400k to 600k ($),425000
9.333195,0.6645711,400k to 600k ($),475000
8.663127,10.139878,400k to 600k ($),477900
7.041094,6.5049996,400k to 600k ($),473000
