x1,x2,price_group,price
-26.235092,11.4315405,200k to 400k ($),329990
18.631535,21.82763,200k to 400k ($),321900
17.710213,21.518658,200k to 400k ($),371900
18.627024,21.827858,200k to 400k ($),389900
18.630304,21.827765,200k to 400k ($),336900
17.882448,21.417423,200k to 400k ($),379900
18.630604,21.827803,200k to 400k ($),334900
17.710758,21.517462,200k to 400k ($),369900
18.63061,21.82763,200k to 400k ($),334900
17.710306,21.518753,200k to 400k ($),371900
-37.148537,-5.4803085,200k to 400k ($),338999
18.626999,21.8279,200k to 400k ($),364900
18.626972,21.827604,200k to 400k ($),364900
17.882631,21.417234,200k to 400k ($),379900
-26.261858,11.445151,200k to 400k ($),331990
-8.398081,17.039297,400k to 600k ($),425000
-11.9878235,27.51621,400k to 600k ($),475000
52.805233,-14.275211,400k to 600k ($),477900
19.705194,-18.208914,400k to 600k ($),473000
-9.95197,30.22588,400k to 600k ($),421515
-9.951754,30.225288,400k to 600k ($),419590
-9.951603,30.224987,400k to 600k ($),479515
-9.9517975,30.225561,400k to 600k ($),445390
-9.940188,30.243778,400k to 600k ($),489265
-9.971002,30.237411,400k to 600k ($),441725
-9.951945,30.225607,400k to 600k ($),419690
-9.928504,30.313173,400k to 600k ($),460675
-9.951779,30.225512,400k to 600k ($),456865
-9.938819,30.239292,400k to 600k ($),475500
2.010999,17.20503,400k to 600k ($),479000
18.244457,-33.603897,400k to 600k ($),419500
-8.787643,-28.413609,400k to 600k ($),479000
40.972897,-0.19839446,400k to 600k ($),460000
-3.7256725,15.834799,400k to 600k ($),465000
32.231144,-8.385347,400k to 600k ($),499000
-5.930209,16.107908,400k to 600k ($),415000
51.802296,22.910875,400k to 600k ($),449000
-10.889925,11.403644,400k to 600k ($),440000
49.68796,22.966396,400k to 600k ($),489000
31.303415,-7.205421,400k to 600k ($),499900
-8.328377,9.212453,400k to 600k ($),425000
-5.4990544,32.633854,400k to 600k ($),497864
47.969566,-2.567401,400k to 600k ($),475000
-5.570889,32.614143,400k to 600k ($),494786
42.36408,19.714537,400k to 600k ($),499000
15.2657385,-18.977596,400k to 600k ($),415000
-4.97056,16.634104,400k to 600k ($),473000
36.830505,0.7033898,400k to 600k ($),469000
33.143337,1.060556,400k to 600k ($),499000
48.58353,19.098377,400k to 600k ($),450000
26.465727,-11.790006,400k to 600k ($),445000
-4.4656153,-9.808394,400k to 600k ($),499900
14.408443,5.6157465,400k to 600k ($),425000
11.827582,39.994324,400k to 600k ($),477613
-10.764173,-22.66786,400k to 600k ($),500000
-15.441955,11.099764,400k to 600k ($),424000
14.643359,-9.8030405,400k to 600k ($),439900
-24.15465,-10.929729,400k to 600k ($),474900
-5.804198,18.751564,400k to 600k ($),469900
51.923676,0.84948653,400k to 600k ($),460000
46.023262,15.533375,400k to 600k ($),439000
-7.285091,22.230574,400k to 600k ($),494500
-29.994892,10.029436,400k to 600k ($),472665
-29.375671,9.799441,400k to 600k ($),403286
-14.006489,29.58355,400k to 600k ($),416100
-9.928672,30.313288,400k to 600k ($),466365
-30.855385,9.154374,400k to 600k ($),402465
-37.41569,0.93256986,400k to 600k ($),450000
-29.375904,9.799582,400k to 600k ($),401886
-9.951448,30.224812,400k to 600k ($),456765
12.821097,39.816483,400k to 600k ($),421926
-10.514309,35.50788,400k to 600k ($),459490
-9.6842985,32.17589,400k to 600k ($),403000
-29.00691,12.455501,400k to 600k ($),407170
-12.30718,31.157122,400k to 600k ($),489000
-13.975285,29.592052,400k to 600k ($),480750
17.773148,-23.884426,400k to 600k ($),409900
-30.10494,9.820669,400k to 600k ($),481665
-5.8826356,18.909391,400k to 600k ($),469900
-31.740305,10.695046,400k to 600k ($),409000
-10.518509,35.498795,400k to 600k ($),448990
-34.09234,2.5952594,400k to 600k ($),477889
-13.975373,29.591688,400k to 600k ($),438900
-12.97931,28.976788,400k to 600k ($),423075
-12.97931,28.976788,400k to 600k ($),422775
-29.864809,12.603576,400k to 600k ($),493885
-6.3194356,18.153051,400k to 600k ($),469900
-14.005825,29.583971,400k to 600k ($),432375
-29.93225,12.843843,400k to 600k ($),480245
-12.886543,29.053293,400k to 600k ($),419100
-9.9984255,30.212906,400k to 600k ($),451690
-3.8469393,15.72876,400k to 600k ($),499000
28.73698,8.583672,400k to 600k ($),402900
15.616181,-9.121727,400k to 600k ($),478100
-9.684331,32.175976,400k to 600k ($),403100
-9.684298,32.175888,400k to 600k ($),414125
12.759713,39.789654,400k to 600k ($),401440
12.759705,39.790108,400k to 600k ($),402166
12.821221,39.8173,400k to 600k ($),421076
-30.478607,32.72881,400k to 600k ($),485595
18.949724,-2.2332885,400k to 600k ($),439900
-9.6842985,32.17588,400k to 600k ($),416850
-30.862782,32.71691,400k to 600k ($),492990
17.885843,21.420616,400k to 600k ($),401900
17.882645,21.417181,400k to 600k ($),401900
16.00709,34.545635,400k to 600k ($),419900
